commit,author,datetime,subject,insertions,deletions,total
fdfdeea44545ddd928c132796075a9723163ad40,glassey,2025-08-27 14:37:24 +0200,Working on #2,1,1,2
3af17e9aaf19383c8ee8cf6f3d5409dfbc468024,glassey,2025-08-27 14:34:29 +0200,Fixes #1,1,0,1
56fe7b7c886c5517b218df1be448476c69cb36f4,glassey,2025-08-27 14:33:06 +0200,Made a change,1,0,1
392793490aa7670831946671a9405b553cdf10b5,glassey,2025-08-27 14:27:27 +0200,"Complete first INDA assignment - warmup questions, HelloWorld, and Arithmetic class",50,13,63
7b560e0309bc706f09a705917b26d9073a66108f,glassey,2025-08-26 22:35:02 +0200,'Sanitize files',25,17,42
60acab7f5a089dbfef1f4f202cbeefb403c891c5,glassey,2025-08-26 22:22:30 +0200,'Sanitize files',14,4,18
efdb472f2550306b4451f9c756be222012b2221e,glassey,2025-08-26 18:00:05 +0200,'Sanitize files',2,2,4
6a537f12dda31d4d09607998b2c599708a7dc195,glassey,2025-08-26 17:55:29 +0200,'Sanitize files',30,5,35
10109d3570de0768b8890c4c03321bf19d106a47,glassey,2024-09-02 23:40:21 +0200,'Sanitize files',33,20,53
d6615e9dcca26ac5d42f3f917fe679bac6f6f8c7,glassey,2024-09-02 23:31:20 +0200,'Sanitize files',34,20,54
daa063bb325919eed4d18b302028a54c1d5a21a8,glassey,2022-09-05 13:31:04 +0200,'Sanitize files',1,0,1
40128fda69b1e02984feb1ab132632e658baac61,glassey,2022-09-05 13:28:57 +0200,'Sanitize files',9,10,19
87389e2179d50fd0c66ac7ff5743307f39ced576,glassey,2022-09-05 13:24:43 +0200,'Sanitize files',17,18,35
987fad259daa7efb7179d4db914b3ab1da44b927,glassey,2021-09-06 22:59:36 +0200,Rephrase text for Exercise 1.32,1,2,3
4f1880929cad85dcdc8d7222445cdabd480b2a8c,glassey,2021-09-06 22:55:46 +0200,Fix dates and urls for 2021,5,5,10
c8b81824100d0a0b5fe3dce4e8a0cd195d734c90,glassey,2020-08-30 16:10:45 +0200,Fix url in README,1,1,2
4a1ec758cee87ecc80fcdb892306a69d28a5117e,glassey,2020-08-30 16:09:57 +0200,Fix text reflow in README,2,2,4
5418abf41227948b7e28dc216a550c85828eb836,glassey,2020-08-30 16:07:45 +0200,Update for INDA20,18,13,31
34c9ce92c6371d8364c1cc9a779874700624288a,glassey,2019-09-01 22:37:15 +0200,Update URLs for 2019,3,3,6
3aa770e831476b7989959833d96574592596e0af,glassey,2018-09-02 20:59:12 +0200,update urls,4,4,8
