author,commits,issues,commits_to_issues_ratio,total_insertions,total_deletions,total_changes,avg_changes_per_commit,open_issues,closed_issues,references,closing_references
aattar,5,1,5.0,41,0,41,8.2,1,0,0,0
abhsax,7,6,1.1667,60,18,78,11.14,0,6,6,6
adamven,5,0,inf,122,28,150,30.0,0,0,0,0
adrianjw,3,6,0.5,53,13,66,22.0,0,6,6,2
aeozbek,7,5,1.4,47,22,69,9.86,0,5,5,2
agentzel,10,6,1.6667,69,25,94,9.4,0,6,4,4
akanksh,3,5,0.6,60,14,74,24.67,0,5,0,0
akehurst,2,1,2.0,45,13,58,29.0,0,1,0,0
akuhnert,8,5,1.6,61,22,83,10.38,0,5,5,5
alialk,4,0,inf,59,15,74,18.5,0,0,0,0
alperso,3,0,inf,55,13,68,22.67,0,0,0,0
alstahle,10,6,1.6667,82,321,403,40.3,0,6,6,4
alviny,5,7,0.7143,53,20,73,14.6,0,7,7,7
alwinwn,6,1,6.0,78,29,107,17.83,0,1,0,0
anpingle,6,5,1.2,46,16,62,10.33,0,5,0,0
antonlen,10,7,1.4286,74,35,109,10.9,0,7,9,9
arst,8,6,1.3333,79,23,102,12.75,0,6,6,0
arvidbj,10,6,1.6667,53,19,72,7.2,1,5,7,2
arvwes,2,6,0.3333,38,0,38,19.0,1,5,5,5
atosun,2,1,2.0,65,13,78,39.0,0,1,0,0
avde,3,2,1.5,43,13,56,18.67,0,2,2,2
awahren,6,7,0.8571,70,21,91,15.17,0,7,6,6
axelahm,6,8,0.75,58,13,71,11.83,1,7,6,6
axelbjor,11,1,11.0,146,107,253,23.0,0,1,0,0
badawood,10,9,1.1111,92,44,136,13.6,4,5,8,8
bajlo,3,5,0.6,65,22,87,29.0,0,5,5,2
bishrelt,4,2,2.0,63,20,83,20.75,1,1,3,2
bjorste,3,5,0.6,40,6,46,15.33,0,5,0,0
capf,7,9,0.7778,65,22,87,12.43,0,9,3,3
catyde,3,5,0.6,47,14,61,20.33,0,5,10,10
chhatbar,11,1,11.0,62,20,82,7.45,0,1,0,0
chkkour,3,0,inf,48,21,69,23.0,0,0,0,0
ctorgrip,6,6,1.0,54,15,69,11.5,0,6,6,6
cwelen,6,5,1.2,62,48,110,18.33,0,5,5,3
daeo,5,5,1.0,54,18,72,14.4,0,5,5,5
dalindk,8,7,1.1429,85,21,106,13.25,0,7,7,7
danahh,3,0,inf,67,13,80,26.67,0,0,0,0
danogw,6,6,1.0,70,17,87,14.5,0,6,6,5
darinabd,3,0,inf,61,12,73,24.33,0,0,0,0
dellam,7,0,inf,58,21,79,11.29,0,0,0,0
didriku,10,8,1.25,72,25,97,9.7,0,8,9,9
disoto,4,0,inf,58,21,79,19.75,0,0,0,0
eahla,5,5,1.0,163,19,182,36.4,0,5,4,4
edwardas,1,0,inf,59,12,71,71.0,0,0,0,0
eliasgr,5,6,0.8333,70,19,89,17.8,0,6,6,6
elliotan,9,5,1.8,69,30,99,11.0,0,5,5,4
elsai,7,6,1.1667,56,20,76,10.86,0,6,2,2
emmkab,1,0,inf,60,0,60,60.0,0,0,0,0
emsands,1,5,0.2,46,18,64,64.0,0,5,5,5
erikrom,6,5,1.2,65,19,84,14.0,0,5,5,5
fabianto,10,5,2.0,60,28,88,8.8,0,5,5,5
fesj,8,4,2.0,58,20,78,9.75,0,4,4,4
filipron,6,3,2.0,77,39,116,19.33,0,3,3,3
flavius,1,0,inf,28,0,28,28.0,0,0,0,0
folkesc,6,5,1.2,37,14,51,8.5,0,5,5,5
francesh,6,1,6.0,6932,13,6945,1157.5,1,0,0,0
fransny,11,0,inf,77,21,98,8.91,0,0,0,0
gullblom,3,5,0.6,39,13,52,17.33,0,5,5,5
hannazh,7,5,1.4,38,16,54,7.71,0,5,6,6
hartm,9,0,inf,54,23,77,8.56,0,0,0,0
hermanha,3,2,1.5,34,5,39,13.0,0,2,2,2
hfahlin,3,6,0.5,68,13,81,27.0,0,6,3,1
hstorm,4,5,0.8,49,9,58,14.5,0,5,0,0
hugoco,3,4,0.75,40,0,40,13.33,0,4,0,0
hultdin,4,0,inf,60,18,78,19.5,0,0,2,2
hulundb,3,0,inf,41,4,45,15.0,0,0,0,0
isakhem,6,0,inf,60,18,78,13.0,0,0,0,0
isong,6,5,1.2,58,15,73,12.17,0,5,5,5
jackak,1,1,1.0,34,0,34,34.0,0,1,0,0
janusson,2,2,1.0,505,0,505,252.5,2,0,0,0
jarr,3,1,3.0,34,0,34,11.33,0,1,0,0
javids,13,11,1.1818,81,34,115,8.85,0,11,9,9
jensfoc,5,6,0.8333,44,15,59,11.8,0,6,7,7
jharj,4,5,0.8,82,16,98,24.5,4,1,1,1
jonaskvi,9,6,1.5,56,16,72,8.0,0,6,8,7
jonsh,13,5,2.6,68,42,110,8.46,0,5,5,4
josjer,9,5,1.8,91,38,129,14.33,0,5,0,0
jrislund,5,5,1.0,54,13,67,13.4,0,5,5,5
jtt,5,0,inf,155,35,190,38.0,0,0,1,1
julch,7,5,1.4,50,18,68,9.71,0,5,5,5
julieda,3,7,0.4286,55,13,68,22.67,2,5,0,0
julina,7,5,1.4,60,25,85,12.14,0,5,6,5
kaj4,7,5,1.4,91,31,122,17.43,0,5,5,5
kajus,3,2,1.5,59,15,74,24.67,0,2,2,2
kante,4,2,2.0,41,19,60,15.0,0,2,2,2
karlham,5,7,0.7143,47,19,66,13.2,0,7,10,0
kazan,9,7,1.2857,75,25,100,11.11,0,7,7,7
kgharios,4,0,inf,64,22,86,21.5,0,0,0,0
khaleghi,4,0,inf,22,14,36,9.0,0,0,0,0
kimnor,8,7,1.1429,59,21,80,10.0,0,7,8,0
korlot,1,0,inf,63,13,76,76.0,0,0,0,0
kostiuk,5,5,1.0,52,15,67,13.4,0,5,0,0
laamiri,6,0,inf,54,24,78,13.0,0,0,0,0
laxberg,6,6,1.0,56,13,69,11.5,0,6,6,6
lberglie,2,6,0.3333,66,26,92,46.0,0,6,5,4
leben,6,5,1.2,49,13,62,10.33,0,5,6,3
leock,6,1,6.0,64,16,80,13.33,0,1,0,0
leonms,6,6,1.0,59,15,74,12.33,0,6,6,6
leosjos,6,5,1.2,63,15,78,13.0,0,5,5,5
lfax,6,5,1.2,55,18,73,12.17,0,5,5,5
lihanl,4,5,0.8,58,13,71,17.75,0,5,1,1
linnwan,2,0,inf,45,14,59,29.5,0,0,0,0
linupet,3,6,0.5,63,12,75,25.0,0,6,1,1
linusnym,10,5,2.0,85,27,112,11.2,5,0,5,5
lohag,8,5,1.6,95,52,147,18.38,0,5,5,5
lokehu,6,5,1.2,54,20,74,12.33,0,5,5,5
louisete,6,5,1.2,80,30,110,18.33,0,5,5,5
louiseul,8,5,1.6,68,19,87,10.88,0,5,4,4
lovwic,5,1,5.0,69,18,87,17.4,0,1,1,1
lucjan,7,5,1.4,57,25,82,11.71,0,5,5,5
ludw,3,4,0.75,53,12,65,21.67,1,3,1,1
mahamad,2,0,inf,43,13,56,28.0,0,0,1,1
maltehag,7,5,1.4,62,19,81,11.57,0,5,5,5
maltelu,11,7,1.5714,60,20,80,7.27,0,7,0,0
marioo,7,1,7.0,61,29,90,12.86,0,1,0,0
mariuspa,2,0,inf,62,13,75,37.5,0,0,0,0
markmal,3,0,inf,50,20,70,23.33,0,0,0,0
markow,4,1,4.0,63,18,81,20.25,0,1,4,4
matfz,6,5,1.2,53,13,66,11.0,0,5,0,0
mbd,6,6,1.0,83,46,129,21.5,0,6,6,6
