repository,issue_creator,author,number,title,state,createdAt
jharj-task-1,jharj,jharj,5,Exercise 1.5 -- Average,OPEN,2025-09-03T17:25:32Z
jharj-task-1,jharj,jharj,4,Exercise 1.4 -- Difference,OPEN,2025-09-03T17:25:30Z
jharj-task-1,jharj,jharj,3,Exercise 1.3 -- Sum,OPEN,2025-09-03T17:25:28Z
jharj-task-1,jharj,jharj,2,Exercise 1.2 -- Arithmetic.java!,OPEN,2025-09-03T17:25:25Z
jharj-task-1,jharj,jharj,1,"Exercise 1.1 -- Hello, World!",CLOSED,2025-09-03T17:25:02Z
hermanha-task-1,hermanha,hermanha,2,Excercise 1.2 to 1.5 - Arithmetic operations,CLOSED,2025-09-02T06:38:25Z
hermanha-task-1,hermanha,hermanha,1,"Excercise 1.1 - Hello, World!",CLOSED,2025-09-02T06:36:55Z
jrislund-task-1,jrislund,jrislund,5,Exercise 1.5 -- Average,CLOSED,2025-09-03T19:35:39Z
jrislund-task-1,jrislund,jrislund,4,Exercise 1.4 -- Difference,CLOSED,2025-09-03T19:32:14Z
jrislund-task-1,jrislund,jrislund,3,Exercise 1.3 -- Sum,CLOSED,2025-09-03T19:25:17Z
jrislund-task-1,jrislund,jrislund,2,Exercise 1.2 -- Arithmetic.java!,CLOSED,2025-09-03T19:23:45Z
jrislund-task-1,jrislund,jrislund,1,"Exercise 1.1 -- Hello, World!",CLOSED,2025-09-03T19:15:25Z
jarr-task-1,jarr,jarr,1,"Exercise 1.1 -- Hello, World!",CLOSED,2025-09-04T10:05:42Z
nrosberg-task-1,nrosberg,nrosberg,3,Exercise 1.3 -- Sum,CLOSED,2025-09-03T20:40:33Z
nrosberg-task-1,nrosberg,nrosberg,2,Exercise 1.2 -- Arithmetic.java!,CLOSED,2025-09-03T20:40:14Z
nrosberg-task-1,nrosberg,nrosberg,1,"Exercise 1.1 -- Hello, World!",CLOSED,2025-09-03T15:43:37Z
ossianfr-task-1,ossianfr,ossianfr,2,Create methods,CLOSED,2025-09-02T13:16:37Z
ossianfr-task-1,ossianfr,ossianfr,1,Exercise 1.2 -- Arithmetic.java!,CLOSED,2025-09-02T13:08:00Z
rjmartin-task-1,rjmartin,rjmartin,2,Can not add to repo,OPEN,2025-09-04T19:23:56Z
rjmartin-task-1,rjmartin,rjmartin,1,The Plan,OPEN,2025-09-04T16:34:26Z
atosun-task-1,atosun,atosun,1,something,CLOSED,2025-09-03T19:30:54Z
aattar-task-1,aattar,aattar,1,"Exercise 1.1 -- Hello, World!",OPEN,2025-09-03T12:06:18Z
laxberg-task-1,laxberg,laxberg,6,Complete 'Exercise 1.5',CLOSED,2025-09-03T08:39:40Z
laxberg-task-1,laxberg,laxberg,5,Complete 'Exercise 1.4',CLOSED,2025-09-03T08:39:24Z
laxberg-task-1,laxberg,laxberg,4,Complete 'Exercise 1.3',CLOSED,2025-09-03T08:39:02Z
laxberg-task-1,laxberg,laxberg,3,Complete 'Exercise 1.2',CLOSED,2025-09-03T08:38:39Z
laxberg-task-1,laxberg,laxberg,2,Complete 'Exercise 1.1',CLOSED,2025-09-03T08:37:45Z
laxberg-task-1,laxberg,laxberg,1,Complete 'Warmup 1',CLOSED,2025-09-03T08:37:15Z
badawood-task-1,badawood,badawood,9,Exercise 1.4 -- Difference,OPEN,2025-09-04T23:49:08Z
badawood-task-1,badawood,badawood,8,Exercise 1.2 -- Arithmetic.java!,OPEN,2025-09-04T23:48:28Z
badawood-task-1,badawood,badawood,7,Exercise 1.5 -- Average,OPEN,2025-09-04T22:27:26Z
badawood-task-1,badawood,badawood,6,Exercise 1.3 -- Sum,OPEN,2025-09-04T22:27:03Z
badawood-task-1,badawood,badawood,5,Exercise 1.2 -- Arithmetic.java!,CLOSED,2025-09-04T22:26:46Z
badawood-task-1,badawood,badawood,4,Exercise 1.4 -- Difference,CLOSED,2025-09-04T21:49:53Z
badawood-task-1,badawood,badawood,3,Exercise 1.3 -- Sum,CLOSED,2025-09-04T20:40:32Z
badawood-task-1,badawood,badawood,2,Exercise 1.2 -- Arithmetic.java!,CLOSED,2025-09-04T18:46:41Z
